0 ГраницыРЦ
Линий 839; ПОДов 0; дуг 0; окружностей 0
Линии(индекс 2): всего 839
ID(2) начало конец тип цвет
2 GG09 GG10 0 1
2 GG09 GG08 0 1
2 GG07 GG08 0 1
2 GG07 GG06 0 1
2 GG05 GG06 0 1
2 GG05 GG04 0 1
2 GG03 GG04 0 1
2 GG03 GG02 0 1
2 GG01 GG02 0 1
2 RA03 RC04 0 1
2 RC04 RC03 0 1
2 Repik RC03 0 1
2 Repik RC02 0 1
2 RC02 Sutek 0 1
2 Sutek Amupi 0 1
2 Amupi Tirak 0 1
2 BLG op1 0 9
2 BLG op2 0 9
2 GU op4 0 9
2 GU op3 0 9
2 Ospir Utomi 0 1
2 Utomi Ogrol 0 1
2 Ogrol Pimul 0 1
2 Nabuk Pimul 0 1
2 yy277 Nabuk 0 1
2 Ivada Didek 0 1
2 Didek Ranol 0 1
2 y52 Ranol 0 1
2 Ospir rc85 0 1
2 rc85 Nebul 0 1
2 Nebul Gigat 0 1
2 Gigat Aptil 0 1
2 Aptil Legru 0 1
2 Legru Pesom 0 1
2 Pesom Olgir 0 1
2 Olgir Okrig 0 1
2 rc88 Okrig 0 1
2 rc830 Ivada 0 1
2 rc830 rc88 0 1
2 rc830 Tomsu 0 1
2 Tomsu Vadok 0 1
2 Vadok RA03 0 1
2 Tirak rc88 0 1
Полигон (индекс 6)
6 154 160 162 160 160 162 160 0
7 zz288
7 zz304
7 zz311
7 zz313
7 zz316
7 zz324
7 zz332
7 zz337
7 zz340
7 zz344
7 zz348
7 zz352
7 zz355
7 zz358
7 zz361
7 zz367
7 zz382
7 zz385
7 zz388
7 zz391
7 zz397
7 zz402
7 zz403
7 zz409
7 zz415
7 zz418
7 zz421
7 zz427
7 zz430
7 zz432
7 zz437
7 zz440
7 zz442
7 zz445
7 zz448
7 zz451
7 zz453
7 zz460
7 zz463
7 zz465
7 zz468
7 zz471
7 zz476
7 zz478
7 zz480
7 zz484
7 zz487
7 zz496
7 zz499
7 z1
7 z7
7 z10
7 z16
7 z22
7 z24
7 z31
7 z35
7 z39
7 z46
7 z50
7 z57
7 z60
7 z64
7 z67
7 z71
7 z72
7 z78
7 z85
7 z88
7 z91
7 z93
7 z98
7 z99
7 z103
7 z105
7 z111
7 z118
7 z122
7 z125
7 z130
7 z136
7 z140
7 z142
7 z145
7 z147
7 z155
7 z157
7 z160
7 z163
7 z172
7 z174
7 z178
7 z181
7 z183
7 z188
7 z199
7 z206
7 z207
7 z211
7 z222
7 z225
7 z232
7 z235
7 z237
7 z241
7 z244
7 z247
7 z249
7 z252
7 z255
7 z258
7 z262
7 z265
7 z271
7 z276
7 z281
7 z284
7 z286
7 z288
7 z295
7 z301
7 z303
7 z310
7 z318
7 z322
7 z325
7 z330
